observacao_id,camada_numero,camada_nome,amostra_codigo,profund_sup,profund_inf,argila_naoh_esferas_pipeta,carbono_fornalha_1min950_cgdct,carbono_dicromato_30min150_mohr,matorg_fornalha_120min360_massa,matorg_dicromato_30min80_eam,densidade_aliquota
#unidade,-,-,-,cm,cm,g/kg,g/kg,g/kg,g/kg,g/dm^3,g/cm^3
93,-,-,2,-,-,-,-,-,-,-,"1,025"
94,-,-,2,-,-,-,-,-,-,-,"1,12"
95,-,-,2,-,-,-,-,-,-,-,"0,976"
96,-,-,2,-,-,-,-,-,-,-,"1,319"
97,-,-,2,-,-,-,-,-,-,-,"1,03"
98,-,-,2,-,-,-,-,-,-,-,"1,011"
99,-,-,2,-,-,-,-,-,-,-,"0,94"
100,-,-,2,-,-,-,-,-,-,-,"1,081"
101,-,-,2,-,-,-,-,-,-,-,"1,044"
102,-,-,2,-,-,-,-,-,-,-,"1,042"
103,-,-,2,-,-,-,-,-,-,-,"1,007"
104,-,-,2,-,-,-,-,-,-,-,"1,092"
105,-,-,2,-,-,-,-,-,-,-,"1,08"
1,-,-,3,-,-,-,-,-,-,-,"1,386"
2,-,-,3,-,-,-,-,-,-,-,"1,398"
3,-,-,3,-,-,-,-,-,-,-,"1,276"
4,-,-,3,-,-,-,-,-,-,-,"1,583"
5,-,-,3,-,-,-,-,-,-,-,"1,338"
6,-,-,3,-,-,-,-,-,-,-,"1,196"
7,-,-,3,-,-,-,-,-,-,-,"1,326"
8,-,-,3,-,-,-,-,-,-,-,"1,084"
9,-,-,3,-,-,-,-,-,-,-,"1,044"
10,-,-,3,-,-,-,-,-,-,-,"1,271"
11,-,-,3,-,-,-,-,-,-,-,"1,097"
12,-,-,3,-,-,-,-,-,-,-,"1,248"
13,-,-,3,-,-,-,-,-,-,-,"0,758"
14,-,-,3,-,-,-,-,-,-,-,"0,975"
15,-,-,3,-,-,-,-,-,-,-,"1,335"
16,-,-,3,-,-,-,-,-,-,-,"0,93"
17,-,-,3,-,-,-,-,-,-,-,"0,822"
18,-,-,3,-,-,-,-,-,-,-,"0,95"
19,-,-,3,-,-,-,-,-,-,-,"0,676"
20,-,-,3,-,-,-,-,-,-,-,"0,951"
21,-,-,3,-,-,-,-,-,-,-,"0,814"
22,-,-,3,-,-,-,-,-,-,-,"0,837"
23,-,-,3,-,-,-,-,-,-,-,"1,298"
24,-,-,3,-,-,-,-,-,-,-,"1,217"
25,-,-,3,-,-,-,-,-,-,-,"0,853"
26,-,-,3,-,-,-,-,-,-,-,"1,155"
27,-,-,3,-,-,-,-,-,-,-,"0,902"
28,-,-,3,-,-,-,-,-,-,-,"1,29"
29,-,-,3,-,-,-,-,-,-,-,"0,824"
30,-,-,3,-,-,-,-,-,-,-,"0,83"
31,-,-,3,-,-,-,-,-,-,-,"0,679"
32,-,-,3,-,-,-,-,-,-,-,"0,869"
33,-,-,3,-,-,-,-,-,-,-,"0,823"
34,-,-,3,-,-,-,-,-,-,-,"0,641"
35,-,-,3,-,-,-,-,-,-,-,"0,67"
36,-,-,3,-,-,-,-,-,-,-,"1,117"
37,-,-,3,-,-,-,-,-,-,-,"0,739"
38,-,-,3,-,-,-,-,-,-,-,"0,866"
39,-,-,3,-,-,-,-,-,-,-,"0,968"
40,-,-,3,-,-,-,-,-,-,-,"1,121"
41,-,-,3,-,-,-,-,-,-,-,"0,905"
42,-,-,3,-,-,-,-,-,-,-,"0,979"
43,-,-,3,-,-,-,-,-,-,-,"1,075"
44,-,-,3,-,-,-,-,-,-,-,"1,077"
45,-,-,3,-,-,-,-,-,-,-,"1,097"
46,-,-,3,-,-,-,-,-,-,-,"1,076"
47,-,-,3,-,-,-,-,-,-,-,"0,965"
48,-,-,3,-,-,-,-,-,-,-,"0,689"
49,-,-,3,-,-,-,-,-,-,-,"1,114"
50,-,-,3,-,-,-,-,-,-,-,"1,12"
51,-,-,3,-,-,-,-,-,-,-,"1,001"
52,-,-,3,-,-,-,-,-,-,-,"0,81"
53,-,-,3,-,-,-,-,-,-,-,"0,792"
54,-,-,3,-,-,-,-,-,-,-,"1,193"
55,-,-,3,-,-,-,-,-,-,-,"1,009"
56,-,-,3,-,-,-,-,-,-,-,"0,972"
57,-,-,3,-,-,-,-,-,-,-,"0,721"
58,-,-,3,-,-,-,-,-,-,-,"0,687"
59,-,-,3,-,-,-,-,-,-,-,"0,905"
60,-,-,3,-,-,-,-,-,-,-,"0,722"
61,-,-,3,-,-,-,-,-,-,-,"0,951"
62,-,-,3,-,-,-,-,-,-,-,"1,006"
63,-,-,3,-,-,-,-,-,-,-,"0,972"
64,-,-,3,-,-,-,-,-,-,-,"0,881"
65,-,-,3,-,-,-,-,-,-,-,"0,971"
66,-,-,3,-,-,-,-,-,-,-,"1,175"
67,-,-,3,-,-,-,-,-,-,-,"1,17"
68,-,-,3,-,-,-,-,-,-,-,"0,989"
69,-,-,3,-,-,-,-,-,-,-,"1,118"
70,-,-,3,-,-,-,-,-,-,-,"1,06"
71,-,-,3,-,-,-,-,-,-,-,"0,785"
72,-,-,3,-,-,-,-,-,-,-,"0,944"
73,-,-,3,-,-,-,-,-,-,-,"0,804"
74,-,-,3,-,-,-,-,-,-,-,"1,008"
75,-,-,3,-,-,-,-,-,-,-,"0,973"
76,-,-,3,-,-,-,-,-,-,-,"0,87"
77,-,-,3,-,-,-,-,-,-,-,"0,948"
78,-,-,3,-,-,-,-,-,-,-,"0,99"
79,-,-,3,-,-,-,-,-,-,-,"0,981"
80,-,-,3,-,-,-,-,-,-,-,"0,944"
81,-,-,3,-,-,-,-,-,-,-,"0,907"
82,-,-,3,-,-,-,-,-,-,-,"1,021"
83,-,-,3,-,-,-,-,-,-,-,"0,97"
84,-,-,3,-,-,-,-,-,-,-,"0,91"
85,-,-,3,-,-,-,-,-,-,-,"0,703"
86,-,-,3,-,-,-,-,-,-,-,"1,05"
87,-,-,3,-,-,-,-,-,-,-,"0,966"
88,-,-,3,-,-,-,-,-,-,-,"0,759"
89,-,-,3,-,-,-,-,-,-,-,"0,962"
90,-,-,3,-,-,-,-,-,-,-,"0,915"
91,-,-,3,-,-,-,-,-,-,-,"0,93"
92,-,-,3,-,-,-,-,-,-,-,"0,976"
93,-,-,3,-,-,-,-,-,-,-,"1,036"
94,-,-,3,-,-,-,-,-,-,-,"0,784"
95,-,-,3,-,-,-,-,-,-,-,"0,984"
96,-,-,3,-,-,-,-,-,-,-,"1,07"
97,-,-,3,-,-,-,-,-,-,-,"1,021"
98,-,-,3,-,-,-,-,-,-,-,"1,015"
99,-,-,3,-,-,-,-,-,-,-,"0,924"
100,-,-,3,-,-,-,-,-,-,-,"1,047"
101,-,-,3,-,-,-,-,-,-,-,"1,023"
102,-,-,3,-,-,-,-,-,-,-,"1,073"
103,-,-,3,-,-,-,-,-,-,-,"1,038"
104,-,-,3,-,-,-,-,-,-,-,"1,029"
105,-,-,3,-,-,-,-,-,-,-,"1,091"
